"Reaction ID","Subsystem"
"R_2DGULRx_fwd","Alternate Carbon Metabolism"
"R_2DGULRy_fwd","Alternate Carbon Metabolism"
"R_2DGULRGx_fwd","Alternate Carbon Metabolism"
"R_2DGULRGy_fwd","Alternate Carbon Metabolism"
"R_HKNDDH_fwd","Alternate Carbon Metabolism"
"R_HKNTDH_fwd","Alternate Carbon Metabolism"
"R_2HPTCOAT_fwd","Alternate Carbon Metabolism"
"R_2HESR_b2302_fwd","Alternate Carbon Metabolism"
"R_2HESR_b2989_fwd","Alternate Carbon Metabolism"
"R_LKDRA_fwd","Alternate Carbon Metabolism"
"R_MCITD_fwd","Alternate Carbon Metabolism"
"R_MCITS_fwd","Alternate Carbon Metabolism"
"R_MICITDr_fwd","Alternate Carbon Metabolism"
"R_MANPGH_fwd","Alternate Carbon Metabolism"
"R_OBTFL_b0902_b0903_fwd","Alternate Carbon Metabolism"
"R_OBTFL_b0902_b0903_b2579_fwd","Alternate Carbon Metabolism"
"R_OBTFL_b0902_b3114_fwd","Alternate Carbon Metabolism"
"R_OP4ENH_fwd","Alternate Carbon Metabolism"
"R_DOGULNR_fwd","Alternate Carbon Metabolism"
"R_DHACOAH_fwd","Alternate Carbon Metabolism"
"R_DAPAL_fwd","Alternate Carbon Metabolism"
"R_DHCINDO_fwd","Alternate Carbon Metabolism"
"R_DHCIND_fwd","Alternate Carbon Metabolism"
"R_DHPPD_fwd","Alternate Carbon Metabolism"
"R_HPPPNDO_fwd","Alternate Carbon Metabolism"
"R_DKGLCNR1_b0207_fwd","Alternate Carbon Metabolism"
"R_DKGLCNR1_b3012_fwd","Alternate Carbon Metabolism"
"R_DKGLCNR2x_fwd","Alternate Carbon Metabolism"
"R_DKGLCNR2y_fwd","Alternate Carbon Metabolism"
"R_3HPPPNH_fwd","Alternate Carbon Metabolism"
"R_HADPCOADH3_fwd","Alternate Carbon Metabolism"
"R_3HCINNMH_fwd","Alternate Carbon Metabolism"
"R_3HPADHi_fwd","Alternate Carbon Metabolism"
"R_KG6PDC_b3581_fwd","Alternate Carbon Metabolism"
"R_KG6PDC_b4196_fwd","Alternate Carbon Metabolism"
"R_3KGK_fwd","Alternate Carbon Metabolism"
"R_OXDHCOAT_fwd","Alternate Carbon Metabolism"
"R_3OXCOAT_fwd","Alternate Carbon Metabolism"
"R_HPYRP_fwd","Alternate Carbon Metabolism"
"R_3SLAR_fwd","Alternate Carbon Metabolism"
"R_CDGUNPD_b0315_fwd","Alternate Carbon Metabolism"
"R_CDGUNPD_b1285_fwd","Alternate Carbon Metabolism"
"R_CDGUNPD_b1489_fwd","Alternate Carbon Metabolism"
"R_CDGUNPD_b2503_fwd","Alternate Carbon Metabolism"
"R_CDGUNPD_b3525_fwd","Alternate Carbon Metabolism"
"R_HOPNTAL_fwd","Alternate Carbon Metabolism"
"R_GLCRAL_fwd","Alternate Carbon Metabolism"
"R_5DGLCNR_fwd","Alternate Carbon Metabolism"
"R_5DKGR_b2842_fwd","Alternate Carbon Metabolism"
"R_5DKGR_b4266_fwd","Alternate Carbon Metabolism"
"R_PRCPD_fwd","Alternate Carbon Metabolism"
"R_6D6SFK_fwd","Alternate Carbon Metabolism"
"R_6D6SPA_fwd","Alternate Carbon Metabolism"
"R_BGLA1_b1734_fwd","Alternate Carbon Metabolism"
"R_BGLA1_b2716_fwd","Alternate Carbon Metabolism"
"R_BGLA1_b3721_fwd","Alternate Carbon Metabolism"
"R_CHOLID_fwd","Alternate Carbon Metabolism"
"R_GALS3_fwd","Alternate Carbon Metabolism"
"R_ACCOAL_b0335_fwd","Alternate Carbon Metabolism"
"R_ACCOAL_b4069_fwd","Alternate Carbon Metabolism"
"R_ACACCT_b1694_fwd","Alternate Carbon Metabolism"
"R_ACACCT_b2222_b2221_fwd","Alternate Carbon Metabolism"
"R_BUTCT_fwd","Alternate Carbon Metabolism"
"R_HXCT_fwd","Alternate Carbon Metabolism"
"R_ADNUC_fwd","Alternate Carbon Metabolism"
"R_ALCD19_b1241_fwd","Alternate Carbon Metabolism"
"R_ALCD19_b1478_fwd","Alternate Carbon Metabolism"
"R_ALDD2y_b0493_fwd","Alternate Carbon Metabolism"
"R_ALDD2y_b3003_fwd","Alternate Carbon Metabolism"
"R_ALDD2y_b3011_fwd","Alternate Carbon Metabolism"
"R_ALDD2y_b3588_fwd","Alternate Carbon Metabolism"
"R_ALDD2y_b4269_fwd","Alternate Carbon Metabolism"
"R_ALDD4_fwd","Alternate Carbon Metabolism"
"R_ALDD19xr_fwd","Alternate Carbon Metabolism"
"R_ALDD3y_b3011_fwd","Alternate Carbon Metabolism"
"R_ALDD3y_b3588_fwd","Alternate Carbon Metabolism"
"R_ALDD3y_b4269_fwd","Alternate Carbon Metabolism"
"R_GALM2pp_fwd","Alternate Carbon Metabolism"
"R_ALKP_fwd","Alternate Carbon Metabolism"
"R_ALLPI_fwd","Alternate Carbon Metabolism"
"R_ALLK_fwd","Alternate Carbon Metabolism"
"R_ALLULPE_fwd","Alternate Carbon Metabolism"
"R_AAMYL_fwd","Alternate Carbon Metabolism"
"R_AAMYLpp_fwd","Alternate Carbon Metabolism"
"R_TREH_fwd","Alternate Carbon Metabolism"
"R_TREHpp_fwd","Alternate Carbon Metabolism"
"R_TRE6PS_fwd","Alternate Carbon Metabolism"
"R_ALTRH_fwd","Alternate Carbon Metabolism"
"R_AMALT4_fwd","Alternate Carbon Metabolism"
"R_AMALT3_fwd","Alternate Carbon Metabolism"
"R_AMALT2_fwd","Alternate Carbon Metabolism"
"R_AMALT1_fwd","Alternate Carbon Metabolism"
"R_A5PISO_b2708_fwd","Alternate Carbon Metabolism"
"R_A5PISO_b3197_fwd","Alternate Carbon Metabolism"
"R_AB6PGH_b2716_fwd","Alternate Carbon Metabolism"
"R_AB6PGH_b2901_fwd","Alternate Carbon Metabolism"
"R_AB6PGH_b3721_fwd","Alternate Carbon Metabolism"
"R_LACZ_fwd","Alternate Carbon Metabolism"
"R_LACZpp_fwd","Alternate Carbon Metabolism"
"R_CPL_fwd","Alternate Carbon Metabolism"
"R_DC6PDA_fwd","Alternate Carbon Metabolism"
"R_CINNDO_fwd","Alternate Carbon Metabolism"
"R_CYTDH_b0030_fwd","Alternate Carbon Metabolism"
"R_CYTDH_b0651_fwd","Alternate Carbon Metabolism"
"R_CYTDH_b2162_fwd","Alternate Carbon Metabolism"
"R_F1PP_b0822_fwd","Alternate Carbon Metabolism"
"R_F1PP_b2293_fwd","Alternate Carbon Metabolism"
"R_F1PP_b2690_fwd","Alternate Carbon Metabolism"
"R_F1PP_b3697_fwd","Alternate Carbon Metabolism"
"R_F6PP_b0822_fwd","Alternate Carbon Metabolism"
"R_F6PP_b1727_fwd","Alternate Carbon Metabolism"
"R_F6PP_b2293_fwd","Alternate Carbon Metabolism"
"R_F6PP_b2690_fwd","Alternate Carbon Metabolism"
"R_F6PP_b3826_fwd","Alternate Carbon Metabolism"
"R_GAL1PPpp_fwd","Alternate Carbon Metabolism"
"R_GLCATr_fwd","Alternate Carbon Metabolism"
"R_MNNH_fwd","Alternate Carbon Metabolism"
"R_ARMEPNS_fwd","Alternate Carbon Metabolism"
"R_DXYLTD_b0269_fwd","Alternate Carbon Metabolism"
"R_DXYLTD_b4297_fwd","Alternate Carbon Metabolism"
"R_DTARTD_fwd","Alternate Carbon Metabolism"
"R_DRPA_fwd","Alternate Carbon Metabolism"
"R_DHPTDNR_fwd","Alternate Carbon Metabolism"
"R_DHPTDNRN_fwd","Alternate Carbon Metabolism"
"R_DHAPT_fwd","Alternate Carbon Metabolism"
"R_E4PP_b0822_fwd","Alternate Carbon Metabolism"
"R_E4PP_b1727_fwd","Alternate Carbon Metabolism"
"R_E4PP_b2293_fwd","Alternate Carbon Metabolism"
"R_E4PP_b2690_fwd","Alternate Carbon Metabolism"
"R_E4PP_b3826_fwd","Alternate Carbon Metabolism"
"R_FORCT_fwd","Alternate Carbon Metabolism"
"R_FRUK_fwd","Alternate Carbon Metabolism"
"R_FRULYSE_fwd","Alternate Carbon Metabolism"
"R_FRULYSK_fwd","Alternate Carbon Metabolism"
"R_FRULYSDG_fwd","Alternate Carbon Metabolism"
"R_GALCTD_fwd","Alternate Carbon Metabolism"
"R_GLTPD_fwd","Alternate Carbon Metabolism"
"R_GALKr_fwd","Alternate Carbon Metabolism"
"R_GALCTND_fwd","Alternate Carbon Metabolism"
"R_GGPTRCO_fwd","Alternate Carbon Metabolism"
"R_GGPTRCS_fwd","Alternate Carbon Metabolism"
"R_GGGABADr_fwd","Alternate Carbon Metabolism"
"R_GGGABAH_fwd","Alternate Carbon Metabolism"
"R_GLCRD_b2787_fwd","Alternate Carbon Metabolism"
"R_GLCRD_b2788_fwd","Alternate Carbon Metabolism"
"R_GNK_b3437_fwd","Alternate Carbon Metabolism"
"R_GNK_b4268_fwd","Alternate Carbon Metabolism"
"R_G6PDA_fwd","Alternate Carbon Metabolism"
"R_GUR1PPpp_fwd","Alternate Carbon Metabolism"
"R_GUI2_fwd","Alternate Carbon Metabolism"
"R_GUI1_fwd","Alternate Carbon Metabolism"
"R_GAPP_fwd","Alternate Carbon Metabolism"
